,mape,median,p95,p99,max,mae,rmse,nrmse_range,r2,within_1pct,within_5pct
Density (kg/m^3),0.3178158556032392,0.2402382573788221,0.8979543496546188,1.5061429213772783,4.199025745914695,0.08772134438704939,0.2549189609243222,0.0014261399315311258,0.9999791050985073,96.29660615187261,100.0
Entropy (kJ/(kg·K)),0.11330914512061514,0.07536186998013955,0.307145100511743,0.6740108261995597,3.819154853431719,0.0174171160687873,0.030182894885787112,0.0007634925571856219,0.999991353834785,99.48827351571433,100.0
Enthalpy (kJ/kg),0.17355207270997225,0.12200308282434906,0.4784331398444866,1.1083441158038312,4.651398824088986,0.6678642502473421,1.5367147248717996,0.0009734947301124158,0.999987514484286,98.81201372040492,100.0
Speed of Sound (m/s),0.0903443975298232,0.061182183195977236,0.2725414967143439,0.4323784230757724,1.8481927076385936,0.4118535023917367,0.7687975638065244,0.0008121502256909186,0.9999917809255848,99.92470509495524,100.0
Cv (kJ/(kg·K)),0.0261833600509714,0.013330915172258356,0.07825213718153652,0.21514245334605275,4.0036047106475205,0.000724314231757045,0.001924590068041087,0.0007822488736631962,0.9999771354988936,99.90797289383418,100.0
Cp (kJ/(kg·K)),0.052352517330520605,0.03871540838494106,0.12888611303497374,0.29388825542251495,3.380745354393253,0.002699549789539484,0.010322923853615582,4.492614004395561e-05,0.9999786874777792,99.88287459215259,100.0
Viscosity (μPa·s),0.1514463903591952,0.09019201337097153,0.510159646496224,0.9801953126299744,3.8245469278824005,0.01252968834107721,0.02415226237705211,0.001240235816577671,0.9999792970923902,99.09924983964974,100.0
Thermal Conductivity (mW/(m·K)),0.12021321123587506,0.0870885376932482,0.3280519184905501,0.5498060937131651,1.9223273516329333,0.06595900062707222,0.12641277057206132,0.0008213756128509579,0.99999124900216,99.88008589196575,100.0
