model,n_train,n_test,train_time_s,predict_time_s,points_per_s,mape,median,p95,p99,max,mean_r2,mean_nrmse_range,within_1pct,within_5pct
Current MLP,207651,59330,0.0,0.24830810000000003,238937.03024589206,0.14999230987120873,0.07235738538815045,0.5406113219664973,1.1264777290341474,10.99352535179528,0.9999511216876723,0.0009880871131801637,98.69437889769088,99.99768245407046
Random Forest,207651,59330,16.1062543,0.5046999999999997,117554.98315831194,0.05384374944435824,0.014671414761562862,0.21961411853312054,0.6234448618326658,26.578470859697962,0.9995173839522586,0.000584317759498468,99.58937299848306,99.98630541041632
Extra Trees,207651,59330,11.072949499999996,0.8945886999999999,66320.98080380404,0.028074772647461922,0.007889364555067491,0.11510707386786653,0.31565934187663974,14.432927586593577,0.9999003499727119,0.0002797683431791304,99.90687679083095,99.99768245407046
XGBoost,207651,59330,36.849402999999995,3.5196869000000106,16856.613012935843,1.4260845386146301,0.6038256980398626,4.306881340218923,17.52619680749366,119.5871986687247,0.8923681453748834,0.015539925133427647,63.73461992246755,95.68831114107535
Gaussian RBF Ridge,40000,59330,4.4536720999999915,1.8737603000000007,31663.60179581133,0.048041729352438396,0.005978526505773726,0.17499209782837413,0.6360807622083415,43.90255793462564,0.9946650735497342,0.0014428427623277055,99.47792010787123,99.94585369964605
