model,property,mape,median,p95,p99,max,mae,rmse,nrmse_range,r2,within_1pct,within_5pct
Current MLP,Density (kg/m^3),0.43681357345821903,0.3427045311531466,1.2767249232223419,1.8572048663602996,10.99352535179528,0.0401158680558031,0.1341268749950805,0.0008099603813004637,0.9999463056953459,91.23883364233946,99.9865160964099
Current MLP,Entropy (kJ/(kg·K)),0.08056196252690656,0.057837339447105035,0.21912439421017055,0.3855515178161511,2.2984633261808645,0.014596223285391159,0.025985307788777303,0.0006908146864940117,0.9999721086848781,99.88201584358671,100.0
Current MLP,Enthalpy (kJ/kg),0.2094357134174401,0.15513277585685398,0.5525672191266814,0.9574484671454045,8.669478220025944,1.5797591714258339,2.431751771562198,0.0015541684527603016,0.9999699513083813,99.1454576099781,99.99494353615371
Current MLP,Speed of Sound (m/s),0.1242957394191628,0.09313597022248224,0.34607427225827697,0.5193006817904459,2.4732834303854574,0.8219434885516422,1.100066922756368,0.0012031502942193768,0.999975207703332,99.91404011461317,100.0
Current MLP,Cv (kJ/(kg·K)),0.005488304492637759,0.004029039963734148,0.014078414208977472,0.03529495010709062,0.7542551900675977,0.00017042575841849316,0.0003220472201328449,0.00035549299428235497,0.9999538147991959,100.0,100.0
Current MLP,Cp (kJ/(kg·K)),0.018481907275459085,0.013685493537760347,0.03753693300151908,0.12154911438249369,2.646860205718333,0.0010480156862435373,0.003999201475708211,0.00021498345598780467,0.999863636829262,99.99325804820496,100.0
Current MLP,Viscosity (μPa·s),0.17112285189027354,0.11638755445994459,0.5223291049134895,0.7424582531670384,4.185976950586855,0.020382006054093772,0.030495448598287542,0.001640673554473836,0.9999585472283813,99.68818472947918,100.0
Current MLP,Thermal Conductivity (mW/(m·K)),0.1537384264895713,0.12128067916798364,0.39393515559797965,0.6501718099916401,2.492892515825558,0.14211571390636762,0.2110295934321493,0.0014354530859231598,0.9999694012526018,99.69324119332546,100.0
Random Forest,Density (kg/m^3),0.19688624660859508,0.10932678641879615,0.6270203872205987,1.4587321606527597,26.578470859697962,0.022173149972419766,0.09881171836681793,0.0005967005276778227,0.9999708583918573,97.95887409405023,99.92415304230575
Random Forest,Entropy (kJ/(kg·K)),0.04458706198504828,0.015948726097268003,0.1485068728284072,0.5467648632461323,7.278926737968291,0.005660179660345849,0.014486056635211263,0.0003851091837869217,0.999991332105445,99.62582167537502,99.99157256025619
Random Forest,Enthalpy (kJ/kg),0.06377331903703388,0.031436246007955616,0.2090574016121397,0.5692150667510264,10.967988421147043,0.354792970272498,0.8061552654842663,0.0005152257299836848,0.9999966976395475,99.66627338614529,99.99494353615371
Random Forest,Speed of Sound (m/s),0.03237437428350768,0.015216768098001925,0.10567679007485416,0.3125572500388908,4.537013192202887,0.179738888350625,0.3913124601462535,0.0004279809635372001,0.9999968629177807,99.89549974717681,100.0
Random Forest,Cv (kJ/(kg·K)),0.0018907424763985954,0.00019798082335439985,0.0023247084202076594,0.034249949720619816,2.997825568489167,5.655424160379133e-05,0.0006567537319488698,0.0007249599936938056,0.9998079258918473,99.99157256025619,100.0
Random Forest,Cp (kJ/(kg·K)),0.012228590647171774,0.00016248501977724248,0.02221574373466309,0.22182232814400024,18.682783952188448,0.0009333348169325808,0.02060029685382612,0.0011074018248170318,0.9963817590851,99.8263947412776,99.98314512051239
