Temperature (K),Pressure (MPa),phase_code,reduced_temperature,reduced_pressure,critical_distance,inverse_critical_distance,abs_reduced_temperature_offset,abs_reduced_pressure_offset,target,true,pred,abs_error,relative_error_pct
3.3605731073644374,0.6388929039029557,4.0,0.6468487108279479,2.7982345125392243,1.8325837484631,0.5456776536617507,0.3531522891720521,1.7982355125392244,Enthalpy (kJ/kg),-0.354729426875736,-0.378143310546875,0.023413883671139,4.651398824088986
3.383475660268041,0.6227658655706718,4.0,0.6512570323692648,2.727601022996986,1.7624491346226492,0.5673922613455201,0.3487439676307352,1.727602022996986,Enthalpy (kJ/kg),-0.3891789417506628,-0.411813735961914,0.0226347942112512,4.496625021994422
3.343209602386901,0.6360344708359938,4.0,0.6435065544601661,2.785715096513638,1.82095194407474,0.5491633116699952,0.3564944455398338,1.7857160965136385,Enthalpy (kJ/kg),-0.4124157274611337,-0.4341850280761719,0.0217693006150381,4.324686186377657
3.399105845715477,0.6095228750371634,4.0,0.6542655565059722,2.6695991373386625,1.7050201127318505,0.586503345346326,0.3457354434940278,1.6696001373386624,Enthalpy (kJ/kg),-0.4245622483287889,-0.4460029602050781,0.0214407118762892,4.259408793934223
299.8891783299069,2.8707304695153675,3.0,57.72316869668872,12.57327640817873,57.89178347410895,0.0172736084464772,56.72316969668872,11.573277408178727,Density (kg/m^3),4.546534346677413,4.355624198913574,0.190910147763839,4.199025745914695
296.3330279413316,2.919630619345087,3.0,57.03867494491783,12.78745015480504,57.26497245903621,0.0174626819338005,56.03867594491784,11.78745115480504,Density (kg/m^3),4.677561657162921,4.48213529586792,0.1954263612950013,4.177953720732635
6.141928588619249,0.2306947414674276,3.0,1.18220864793549,1.010400934948439,0.1825052624728419,5.479294056788128,0.1822096479354897,0.010401934948439,Enthalpy (kJ/kg),28.36132403810359,27.213367462158203,1.1479565759453862,4.047612778596305
299.4777667134461,2.839742332727433,3.0,57.64397950329069,12.437554015099128,57.78717899168921,0.0173048765738126,56.64398050329069,11.437555015099129,Density (kg/m^3),4.50419402087743,4.322788238525391,0.1814057823520389,4.027485972211752
5.233025234675615,0.2358927109150663,3.0,1.0072614160251796,1.0331670940568776,0.0339526772268183,29.452758417828885,0.0072624160251796,0.0331680940568776,Cv (kJ/(kg·K)),3.5801900669854403,3.436853408813477,0.1433366581719637,4.0036047106475205
5.489143412652028,0.2504886849297119,3.0,1.056559469646032,1.0970948008484227,0.1123671391396758,8.899398949340243,0.0565604696460317,0.0970958008484227,Density (kg/m^3),42.79006361559592,44.49222183227539,1.7021582166794715,3.9779286891713737
