model,mape,median,p95,p99,max,mean_r2,mean_nrmse_range,within_1pct,within_5pct
Critical-feature ANN,0.16549954076930473,0.07150204909308769,0.5544438524284112,1.425128073306309,46.1013924995393,0.994115674466213,0.0011437238722441226,98.14586296327282,99.88566329233944
Local hybrid,0.13065211874252647,0.06484562055109429,0.46056403558417375,0.9414324568953982,4.651398824088986,0.9999845154267982,0.0008580079859569828,99.16147271256868,100.0
