model,n_train,n_test,train_time_s,predict_time_s,points_per_s,mape,median,p95,p99,max,mean_r2,mean_nrmse_range,within_1pct,within_5pct
Current MLP,207651,59330,0.0,0.2483081,238937.0302458921,0.1499923098712087,0.0723573853881504,0.5406113219664973,1.1264777290341474,10.99352535179528,0.9999511216876724,0.0009880871131801,98.69437889769088,99.99768245407046
Random Forest,207651,59330,16.1062543,0.5046999999999997,117554.98315831194,0.0538437494443582,0.0146714147615628,0.2196141185331205,0.6234448618326658,26.57847085969796,0.9995173839522586,0.0005843177594984,99.58937299848306,99.98630541041632
Extra Trees,207651,59330,11.072949499999996,0.8945886999999999,66320.98080380404,0.0280747726474619,0.0078893645550674,0.1151070738678665,0.3156593418766397,14.432927586593577,0.999900349972712,0.0002797683431791,99.90687679083096,99.99768245407046
XGBoost,207651,59330,36.849403,3.5196869000000106,16856.613012935843,1.42608453861463,0.6038256980398626,4.306881340218923,17.52619680749366,119.5871986687247,0.8923681453748834,0.0155399251334276,63.73461992246755,95.68831114107536
Gaussian RBF Ridge,40000,59330,4.453672099999992,1.8737603000000007,31663.60179581133,0.0480417293524383,0.0059785265057737,0.1749920978283741,0.6360807622083415,43.90255793462564,0.9946650735497342,0.0014428427623277,99.47792010787124,99.94585369964604
